id	title	category	rating	price	link	developer_name	developer_link	img_src_large	img_src_small	description	long_description	num_downloads	published	filesize	software	os	pegi	rating_count	developer_address	related_to
com.ovuline.fertility	"Ovia Fertility Tracker App"	Medical	4.8	free	https://play.google.com/store/apps/details?id=com.ovuline.fertility	" Ovia Health "	https://play.google.com/store/apps/developer?id=Ovia+Health	//lh3.googleusercontent.com/4svJ-FGhFLL2kg733QZQYGP021TADn2ok8JobQ8bAquWRxJnSKtIES3GTd6_GvYePAU=w300	//lh3.googleusercontent.com/4svJ-FGhFLL2kg733QZQYGP021TADn2ok8JobQ8bAquWRxJnSKtIES3GTd6_GvYePAU=w300	"Period &amp; fertility tracker, ovulation calculator, and menstrual cycle calendar!"	" Ovia Fertility is the most accurate ovulation calculator and period tracker app. Know your fertile window and your fertility score each day of the month!By recording your menstrual cycle information, the Ovia Fertility app recognizes your peak fertility days each month. As the leading data-driven fertility predictor app, Ovia Fertility analyzes your unique menstrual cycle and provides a personalized fertility calendar to help you get pregnant faster. Ovia calculates your fertility window, predicts your next period, and provides a personalized menstrual calendar. Ovia Fertility is proven to predict your ovulation and fertile window with more accuracy than any other period tracker, fertility calculator, or menstrual cycle calendar app available. Developed by Harvard scientists and the nation’s leading fertility experts, Ovia Fertility makes it fun and easy to manage your reproductive health and get pregnant by tracking your menstrual cycle, ovulation, and symptoms. Key Features ◆ Ovulation calculator & calendar◆ Period tracker◆ Expert articles on fertility & conception◆ Data-driven predictions of fertility & ovulation◆ Export your data to Excel◆ Track your:°°° Period & cycle°°° Moods & physical symptoms°°° Intercourse°°° Weight & nutrition°°° Sleep°°° Ovulation tests & pregnancy tests°°° Cervical fluid°°° Activity & exercise°°° Medications°°° Blood pressure°°° Basal body temperature (BBT)◆ Support for women with irregular periods who are trying to get pregnant or track their cycle◆ Share data & sync your calendar with your partner, friend, or family member◆ Receive detailed health summaries & statistics◆ Sync your FitBit & Withings fitness tracking devices◆ Back up your data securely in the cloud◆ Protect your app with a PIN number ◆ Take the health assessment to unlock more tips & toolsAdditional Features and Details- Digital OPK support for getting pregnant - track low, high and peak fertility - Fertility Forecast: See when you’ll be most fertile on your monthly calendar. This is a fertility predictor in calendar format that shows ovulation days, upcoming period & peak fertile window (for those working towards getting pregnant, this is when you are most likely to conceive).- Receive free detailed health summaries and statistics each week- MyQ will uncover connections between your health history and potential fertility issues that could impact your chances getting pregnant.- Receive real-time health alerts based on your symptoms .- Ask questions and get answers instantly in Community! Private & Anonymous- Record ovulation & results of pregnancy tests, if you are trying to get pregnant. - Track PMS symptomsMORE ABOUT OVIA FERTILITY We use proprietary algorithms based on cutting-edge fertility research to track your cycle and predict your exact ovulation and fertile window. Ovia is the most accurate ovulation predictor and fertility calculator. Our algorithm is even an accurate predictor for women with irregular periods and are trying to conceive. Best of all, the app is free!THE HISTORY & SCIENCE BEHIND OVIA HEALTHOvia Health is a digital health company that uses mobile apps to help women and families live healthier lives. The Ovia Health apps have helped millions of women and families on their fertility, pregnancy, and parenting journeys. With billions of data points collected and analyzed, Ovia Health apps use data driven science to help women conceive up to 3x faster than the national average, have healthier pregnancies and start families with confidence. LEARN MOREBlog: https://blog.oviahealth.com/Facebook: https://www.facebook.com/oviahealthInstagram: @oviahealthCUSTOMER SERVICEAt Ovia Health, we're always working to improve your experience with our products. The best way for us to do this is by hearing your feedback. Have an idea for the Ovia apps? Let us know! Email us at support@oviahealth.comLove Ovia? Leave us a review and refer us to a friend!   "	"1,000,000 - 5,000,000  "	"May 19, 2017"		" 2.0.23  "	"      4.0.3 and up    "	"PEGI 3"	38865		
com.ovuline.pregnancy	"Ovia Pregnancy & Baby Tracker"	Medical	4.8	free	https://play.google.com/store/apps/details?id=com.ovuline.pregnancy	"Ovia Health"	https://play.google.com/store/apps/developer?id=Ovia+Health	//lh3.googleusercontent.com/drrc7SCkb4C4R-UmKHGVq2Sx-Nkrj8YI_KPpZQ6pbN5Z6dry24NQyIwcluzd7swRV6A=w340	//lh3.googleusercontent.com/drrc7SCkb4C4R-UmKHGVq2Sx-Nkrj8YI_KPpZQ6pbN5Z6dry24NQyIwcluzd7swRV6A=w170	"  Het verwachten? Let op je baby te laten groeien elke dag met Ovia zwangerschap!       "	" Ovia Pregnancy’s high-tech, personalized approach to tracking your pregnancy and baby’s development goes beyond traditional apps. Receive daily feedback on your progress as you track your weight, sleep, moods & symptoms in an easy-to-use calendar. Ovia uses data science and your daily information to deliver personalized plans, milestones, and feedback on your symptoms. Key Features◆ Completely customizable for your health conditions and preferences◆ Easy to use due date calculator◆ Receive free daily updates on your pregnancy & your baby’s size and development◆ 2000+ pregnancy articles, tips & tools to support you throughout your pregnancy◆ Watch your baby grow with adorable baby hand & foot size illustrations, fun baby size themes & more!◆ Receive personalized feedback & support throughout your pregnancy based on your due date and health data ◆ Receive critical health alerts for pregnancy risks based on analysis of your data◆ Organize & track all things pregnancy, from baby bump photos to doctor appointment reminders, in one calendar.Essential Tools ◆ Data log page◆ Community◆ Due date calculator◆ Due date countdown◆ Trimester progress bar◆ Calendar: pregnancy tracker in calendar format◆ Symptoms lookup: Is this normal?◆ Medication safety lookup: Is this safe to take?◆ Food safety lookup: Is this safe to eat? ◆ Health Assessment: unlock more tips & tools.Pregnancy Tracker for Expecting Moms◆ WEIGHT Log & chart your weight progress Manage weight goals by using clinical guidelines for your BMI ◆ SYMPTOMSLearn which symptoms are common for each week when expectingTrack 100+ possible symptomsGet immediate alerts if your symptoms indicate a health risk◆ NUTRITIONKnow if you’re getting the right prenatal nutrition for your baby’s development Record daily servings by: protein, dairy, fruit, veggies, water◆ PRENATAL VITAMINS & MEDICATIONS Learn what prenatal vitamins & medications are safe to take Log your prenatal vitamins & medications◆ SLEEP tracker: Log & chart your sleep  ◆ MOODS tracker: Record your moods day by day◆ EXERCISE trackerCOMPLETELY PERSONALIZED ◆ Customizable baby name, gender, due date calculator, and data log page ◆ Dynamic app timeline with articles, information & feedback◆ Weekly reports on your baby’s developmentSUPPORT & COMMUNITY◆ Connect with other expecting parents by participating in Community! Take polls, answer questions, and leave comments in a safe, supportive environment.◆ Miscarriage & Pregnancy Loss information and support◆ Postpartum information and support: receive free articles & tips in your 4th trimester ADD PHOTOS, VIDEOS, NOTES & MILESTONES◆ Document special moments as you countdown to the big day!◆ Keep track of questions and information for your doctor, baby name ideas, & more in one app!**OVIA HEALTH**Health is made available through insurers and employers worldwide who share our goals of helping women have happier and healthier pregnancies. If we partner with your employer or insurer (and you have identified them in the app), you’ll have access to an expanded set of tools and features! THE HISTORY & SCIENCE BEHIND OVIA HEALTHOvia Health is a digital health company that uses mobile apps to help women and families live healthier lives. The Ovia Health apps have helped millions of women and families on their fertility, pregnancy, and parenting journeys. With billions of data points collected and analyzed, Ovia Health apps use data driven science to help women conceive up to 3x faster than the national average, have healthier pregnancies and start families with confidence. DISCOVER MORE FREE APPS BY OVIA HEALTHOvia Fertility Free App: Track your fertility & get pregnant fasterOvia Baby Free App: Track development & milestones and save a timeline of your growing family!   "	"1,000,000 - 5,000,000  "	"June 8, 2017"		" 2.0.0  "	"      4.0.3 and up    "	"PEGI 3"	69874		com.ovuline.fertility
com.smsrobot.period	"Cyclus Kalender / Volgsysteem"	Medical	4.5	free	https://play.google.com/store/apps/details?id=com.smsrobot.period	"SMSROBOT LTD"	https://play.google.com/store/apps/dev?id=7385958080524828270	//lh3.googleusercontent.com/vHTcDLUc-6U7gMEDZ_FFN0IZzUjdy2rhlyoidRabMiPOPma0b_jubq-En6kOO13pa-A=w340	//lh3.googleusercontent.com/vHTcDLUc-6U7gMEDZ_FFN0IZzUjdy2rhlyoidRabMiPOPma0b_jubq-En6kOO13pa-A=w170	"  Cyclus Kalender, Menstruatie & Ovulatie Volgsysteem       "	" Period and Ovulation Tracker Lilly helps you to track your cycle and can reliably predict your upcoming menstruation, fertile days and ovulation. Never get caught off guard by your period again. For a woman trying to conceive we have ovulation calculator that predicts your fertile window and helps you get pregnant faster. Even more you can enter daily notes and track PMS symptoms, moods and intercourse.Lilly learns from your inputs and makes better prediction of future periods and fertile windows through time, we use all up to date scientific methods available to track and plan your cycle. Using Lilly is easy, just tap a single button once a month on first day of your period and relax, Lilly will do all the heavy lifting for you.One more thing that separates Lilly from all the others is vibrant woman community called Girl Talk. Become a part of our supportive woman community and take control of your health, help others with your experienceand get advice and support in time of need.Lilly can help you with this features:- timely notifications about upcoming period, ovulation, fertile window and late period- birth control reminder which includes pill, patch and ring protection- unique year calendar view which enables you to plan in advance vacation with your loved ones, date with boyfriend or important meeting- PIN code privacy protection- basal body temperature tracker with two decimal digits precision and easy to use graphs- protected or unprotected intercourse/sex trackingWe want to hear from you! Please email comments and suggestions to contact@smsrobot.com.   "	"5,000,000 - 10,000,000  "	"May 24, 2017"	"   Varies with device  "	"   Varies with device  "	"   Varies with device    "	"PEGI 3"	111976	"THE BLACK CHURCH
ST. MARY’S PLACE
DUBLIN 7
IRELAND"	com.ovuline.fertility
com.ecare.ovulationcalculator	"MIJN OVULATIECALCULATOR"	Medical	3.9	free	https://play.google.com/store/apps/details?id=com.ecare.ovulationcalculator	"Baskaran Arunasalam"	https://play.google.com/store/apps/developer?id=Baskaran+Arunasalam	https://lh3.ggpht.com/ITG9bRBp8Dfbcei7V5yubrtLjrzJYv9NVE3GdOyaAEfC5nRhIF989Of9ng0gdp5R=w340	https://lh3.ggpht.com/ITG9bRBp8Dfbcei7V5yubrtLjrzJYv9NVE3GdOyaAEfC5nRhIF989Of9ng0gdp5R=w170	"  MIJN OVULATIECALCULATOR       "	" Over 500,000 downloaded worldwide.Here are some reviews:“Amazing, I love this app, works great.”“Got pregnant first time around with this app.”“Really good information, clear and simple layout, easy to use.”My Ovulation Calculator is a simple and easy to use application to calculate the time of ovulation and determine the fertile period. By just recording the first date of your last menstrual period and the average number of days in your menstrual cycle, your ovulation date and your fertile period will be shown. Being intimate during the fertile period greatly improves the chances for you to conceive. The app also shows the expected date of delivery if you happen to conceive at that time. This app is designed for Android Devices.   "	"1,000,000 - 5,000,000  "	"December 18, 2015"		" 3.3  "	"      2.2 and up    "	"PEGI 3"	10522	"148 B, 2nd Floor, Jalan Batu Unjur 1
Taman Bayu Perdana
41200 Klang
Selangor Darul Ehsan
Malaysia"	com.ovuline.fertility
com.lbrc.PeriodCalendar	Menstruatiekalender	Medical	4.6	free	https://play.google.com/store/apps/details?id=com.lbrc.PeriodCalendar	SimpleInnovation	https://play.google.com/store/apps/dev?id=6197543456908830701	//lh3.googleusercontent.com/zInI2i2SrXU5jvioTYesQpu-kIPQd_zxGKyztVtVXCnuOfaRqu57cHFTi8B4qccYtN8=w340	//lh3.googleusercontent.com/zInI2i2SrXU5jvioTYesQpu-kIPQd_zxGKyztVtVXCnuOfaRqu57cHFTi8B4qccYtN8=w170	"  Simpel, elegant en eenvoudig te gebruiken menstruele tracker       "	" Period Calendar - Menstrual TrackerPeriod Calendar is an extremely elegant and easy-to-use application that helps women keep track of periods, cycle, ovulation, and fertile days.  Whether you are concerned about conceiving, birth control, contraception, or regularity of period cycles, Period Calendar can help.Our tracker is easy to use and offers everything you need: Track irregular periods, weight, temperature, moods, blood flow, symptoms and more.Discreet reminders keep you informed and prepared for upcoming periods, ovulation, and fertile days.The calendar is great at predicting fertility, ovulation and periods.  The app adapts to your cycle history and accurately predicts the key days that interest you.See everything you need at a glance on the calendar home page.Period Calendar protects your most private data—the calendar can be password locked, keeping your information hidden from prying eyes.Easy backup and restore of your data to protect against device loss or replacement.Key features:Period tracker, calculator and calendar - Intuitive calendar in which you can visualize non-fertile, fertile, ovulation, expected period and period days- Calendar, cycles and settings can be quickly backed up and restored. Never be afraid to lose your calendar data- Our intuitive health tracker shows vital information at a glanceDaily period log with detailed tracking- The daily calendar planner lets you save information on flow, intercourse, symptoms, moods, temperature, weight, medicine, PMS, other diary notes- Easily move between calendar days- Notifications for upcoming period, fertility windows or ovulation- Protect your period calendar using a unique PIN codeAlways have up-to-date info with the tracker- Track period data and ovulation signs on your calendar- Choose from different units of measurement- Reset tracker data to start fresh- Adjust period prediction intervals in the Settings section- Adjust luteal phase length- Track cervical observations - Start the tracker on a custom “first day of week” (Monday or Sunday)Period tracker with abstinence mode- Hide ovulation, fertility and intercourse related data- Make this calendar the perfect period tracker for girls and teensElegant and sophisticated, just like you! This highly customizable period tracker and pregnancy planning calendar is perfect for every woman.Download our period calendar free today!Follow us on:http://period-tracker.com/https://www.facebook.com/pages/Period-Calendar/971814886201938https://twitter.com/MenstrualTrack   "	"1,000,000 - 5,000,000  "	"June 18, 2017"		" 5.5.0  "	"      4.0.3 and up    "	"PEGI 3"	99811	"340 S LEMON AVE #3324
Walnut, CA 91789"	com.ovuline.fertility
org.iggymedia.periodtracker	"Flo Menstruatiekalender 👸"	"Health & Fitness"	4.8	free	https://play.google.com/store/apps/details?id=org.iggymedia.periodtracker	"OWHEALTH, INC."	https://play.google.com/store/apps/dev?id=7859780945987939075	//lh3.googleusercontent.com/opkGov9zpHUttLUw7xmjPMWfry6-fI9fzi4sATCIDTC_E_K7hROSQSJOVUE0OnrtzrM=w340	//lh3.googleusercontent.com/opkGov9zpHUttLUw7xmjPMWfry6-fI9fzi4sATCIDTC_E_K7hROSQSJOVUE0OnrtzrM=w170	"  Ongesteldheid-, ovulatie-, vruchtbaarheidscalculator, menstruatiecyclus kalender       "	" Flo Period Tracker is a smart and simple way to track your menstrual cycle. Flo is a women's period calculator that makes accurate and reliable predictions of menstruation, ovulation and fertile days using machine learning (AI). All women, even those with irregular cycles, can rely on Flo. Log your period days in a handy calendar, schedule menstrual cycle reminders, record moods and pms symptoms, and take full control of your health.Wondering when you had your last period? Want to know when your next period is coming? With Flo female menstrual calendar it’s easy to keep track of your cycle.Listen to yourself, note your mood and symptoms to understand how they influence your health.Flo lets you:- schedule reminders and get notifications of your period, ovulation, contraceptives and other pills;- keep your cycle and symptoms history and analyze it using graphs;- manage your lifestyle: add your daily sleep duration, water consumption, physical activity, track PMS symptoms, all in one place;- track basal temperature, pregnancy tests results and know your fertility days, if you are trying to conceive;- find out more about your body and cycle – get personalized health insights every dayTracking periods was never that easy! Download this period diary and join millions of women and girls who trust their cycles to Flo Period & Ovulation Tracker.   "	"5,000,000 - 10,000,000  "	"June 28, 2017"		" 3.3.0  "	"      4.0.3 and up    "	"PEGI 3"	156744	"1013 Centre Road, Suite 403-B, Wilmington, DE, 19805"	com.ovuline.fertility
ovulationcalculator.com.ovulationcalculator	"Ovulation Calculator Fertility"	Medical	4.5	free	https://play.google.com/store/apps/details?id=ovulationcalculator.com.ovulationcalculator	"Ovulation Calculator Pty Ltd"	https://play.google.com/store/apps/developer?id=Ovulation+Calculator+Pty+Ltd	//lh3.googleusercontent.com/-sjbRQUL70ENkbMQ2cuobW1niGw_5oXEyH1OUm88-eAwC6FYMm2wGzT_BSEMXSWN3A=w340	//lh3.googleusercontent.com/-sjbRQUL70ENkbMQ2cuobW1niGw_5oXEyH1OUm88-eAwC6FYMm2wGzT_BSEMXSWN3A=w170	"  Ovulatie Calculator helpt u om zwanger 3x sneller op het gemiddelde. start vandaag       "	" Ovulation Calculator helps couples conceive up to 3x faster than the national average. When you're trying to get pregnant you need to know when you're most fertile and when to have sex! OC calculates your two most fertile days each cycle by analyzing your unique menstrual cycle, health and lifestyle data.Ovulation Calculator also provides a huge amount of fertility knowledge through our education portal. As well as access to an online-support network of thousands of other women trying to conceive. The Ovulation Calculator app is free to download and use.KEY FEATURES - Cycle Data Analysis Driven Predictions - Ovulation Calculator - Ovulation Calendar - Cycle Overview At  A Glance - Fertile Window and Conception Odds Viewer - Fertility & BBT Chart - Cycle Reports - Daily Insights - Fertility Knowledge - Fertility Tips, Alerts & Reminders - Easy Cycle Data Logging - Fast Period LoggingRead what others are saying about Ovulation Calculator here: https://www.reviews.io/company-reviews/store/ovulation-calculatorTRACK YOUR UNIQUE CYCLE - Daily progress log to record your daily signals such as BBT, cervical mucus, cervix position, OPK results, symptoms, mood and more. - Period log to easily add your periods and flow type in one place. - Fertility charting providing clues and insights into your cycle and fertility. - Calendar view and cycle view of your phases, fertile window and ovulation.CONNECTWeb: https://www.ovulationcalculator.comFacebook: https://www.facebook.com/ovulationcalculatordotcomTwitter: https://twitter.com/OvCalcGoogle+: https://plus.google.com/+OvulationcalculatordotcomOvulation Calculator - Because Accuracy Matters   "	"50,000 - 100,000  "	"April 2, 2017"		" 1.4.2  "	"      4.1 and up    "	"PEGI 3"	1442	"9 / 860 Nepean Highway,
Hampton East, VIC 3188, Australia"	com.ovuline.fertility
com.ladytimer.ovulationcalendar	"Ladytimer Maandstonden Cyclus Kalender"	Medical	4.4	free	https://play.google.com/store/apps/details?id=com.ladytimer.ovulationcalendar	"Vipos Apps"	https://play.google.com/store/apps/developer?id=Vipos+Apps	//lh4.ggpht.com/GcHpoL_lpB_xjA3G4m3yGUuQLxtRU4xpiarhOrcPTizDhdqfJtXypalEm7poRJQerf8=w340	//lh4.ggpht.com/GcHpoL_lpB_xjA3G4m3yGUuQLxtRU4xpiarhOrcPTizDhdqfJtXypalEm7poRJQerf8=w170	"  LADYTIMER de meest geavanceerde menstruatiekalender en vruchtbaarheid prognose       "	" Congrats, you've just discovered the world's best period tracker app. LADYTIMER predicts menstrual cycles, helping women to get pregnant or avoid pregnancy. LADYTIMER uses the latest scientific methods to accurately pinpoint a woman's fertile days. The app helps you while trying to conceive, lets you switch to pregnancy mode and back to period calendar mode after birth or miscarriage. * Easy to use period tracker* Ovulation calendar options: PMS, symptoms, moods, weight, temperature, etc* Period, Ovulation and medical exams reminders* Fertility calendar with temperature charts* Menstrual period history* Track irregular periods * Chat and Direct Messaging* Share menstrual calendar data with your doctor or partner* LadyCloud automatic backup and sync* Baby planner with boy or girl forecast* Ovulation App portable to any smartphone* Intimacy tracker* Birth control pill reminder* Ovulation calculator with cervical mucus tracker* Free Ovulation calendar print option* Fertility educational videos* A personal diary for every woman* Customizable tracker with themesWhy this app ? Ladytimer uses all available data such as ovulation tests, BBT and mucus to calculate and predict your actual ovulation time. It's done automatially and the complexity of the data analysis is hidden from the user, making the app simple to use yet very powerful. If you have occasional irregular cycles like almost 40% of women, then Ladytimer will be more accurate and reliable then the majority of apps that rely on simplistic average calculations.Simply track your start period day every month. After that the app calculates the menstrual cycle for you. Enter your morning body temperature for precise fertility tracking. The app will use it to calculate ovulation. See when you are more likely to conceive a boy or a girl. Enter and track symptoms, moods, notes, weight, intimacy, ovulation tests, birth control pills, etc for any day. Chat with other Ladytimer app users.Your period tracker data can be saved online and imported to any smartphone when needed. Never lose your calendar data when switching phones. LadyCloud synchronization does it all automatically for you. It's very easy to share your period calendar with your doctor or partner. Chose the data you wish to share.     — Ladytimer • the most advanced menstruation calendar —   "	"1,000,000 - 5,000,000  "	"November 7, 2016"		" 4.3.9  "	"      3.0 and up    "	"PEGI 3"	61017	"San Diego, CA 92117"	com.ovuline.fertility
com.mostafiz.ovulation	"Ovulation Calendar & Fertility"	Medical	3.9	free	https://play.google.com/store/apps/details?id=com.mostafiz.ovulation	"Rebellion Media"	https://play.google.com/store/apps/developer?id=Rebellion+Media	//lh3.ggpht.com/E6U4EO2-CKAljFpTIox1CWrAJVD_L9tqmLoR1EHtu9Ndr-IIU81dZplCgK4oC_dg0Ms=w340	//lh3.ggpht.com/E6U4EO2-CKAljFpTIox1CWrAJVD_L9tqmLoR1EHtu9Ndr-IIU81dZplCgK4oC_dg0Ms=w170	"         "	" Tip the odds of getting pregnant in your favor by tracking your most fertile days.** Over 500,000 Downloads! ** ** Super! 84 Score on AppsFire ** ** What Our Users are saying: *** “I got pregnant!! Conception was the exact same day that this app read that I was ovulating. Happy Mother To Be!” - Lady Margarette “This is an easy way to track my ovulation and periods” - Reneze “This app is awesome!!! It’s very easy to use and if you want to get pregnant it’s the way to keep track.” - Jacqueline Adap “Gives you exactly the info you want -- no extra fiddly bits. Perfect for baby planning!” - Sarah FEATURES Longing for a baby? The Ovulation Calculator can tip the odds of getting pregnant in your favor to help make your dreams a reality. Each month you have a small fertile window, usually 10 to 18 days after the first day of your period. The Ovulation Calculator helps you quickly determine your most fertile days based on the date you provide and your cycle length:●	Enter the first day of your last menstrual period●	Enter the length of your menstrual cycleThe Ovulation Calculator instantly determines your 6 most fertile days in the current month and in each of the following 4 to 5 months, giving you a better understanding of your monthly cycle. The results also include the baby’s due date should you happen to conceive during that month.Having easy access to this important information allows you to take advantage of your most fertile days and increase your odds of conception.Whether you’ve been trying to get pregnant for a while or are just starting to think about having a baby, the Ovulation Calculator is a great first step towards your ultimate goal — a baby to love!   "	"1,000,000 - 5,000,000  "	"December 18, 2013"		" 3.1.16  "	"      2.1 and up    "	"Warning – content has not yet been rated. Unrated apps may potentially contain content appropriate for mature audiences only."	1920		com.ovuline.fertility
com.popularapp.periodcalendar	"Cyclus Kalender-Period Tracker"	"Health & Fitness"	4.8	free	https://play.google.com/store/apps/details?id=com.popularapp.periodcalendar	"Simple Design Ltd."	https://play.google.com/store/apps/dev?id=8854450600049889113	//lh3.googleusercontent.com/jCw0w3M5ILePsx_LxtCNJHSntwGsa4yPY-PfiiXBtbNo-pvCNMyo6N5PUKiu1v9URDs=w340	//lh3.googleusercontent.com/jCw0w3M5ILePsx_LxtCNJHSntwGsa4yPY-PfiiXBtbNo-pvCNMyo6N5PUKiu1v9URDs=w170	"  Voorspellen menstruatie komt & zwangerschap kans. Je persoonlijke gezondheid log       "	" The ★highest rated (4.8)★ period calendar!Top 1 in Health & Fitness Over 43 Countries.Top 5 in Health & Fitness Over 63 Countries.Over 70,000,000 Android Users love Period Calendar.Keep track of your menstrual cycles with Period Calendar. It tracks your periods, cycles, ovulation and the chance of conception. Period tracker helps both women looking to conceive and those trying to birth control.Period Tracker is useful, whether you have irregular periods or regular periods. It can track your chance of pregnancy every day. You can also record your cervical mucus, BMI, sexual activity, weight, temperature, symptoms or moods. Think of it as your personal period diary. It will help you get in shape, lose weight, and stay healthy.PILL REMINDER & PERIOD REMINDER:- Customize the notification text to make it discreet, to avoid never being embarrassed in public.- Notifications for period, fertility and ovulation tracker- Contraceptive pills reminder (includes pills, ring, patch & injections)PERIOD & FERTILITY TRACKER:- Helps predict menstruation, cycles and ovulation- Ovulation calculator and tracker- Period calculator, fertility calculator and spot on predictionTRYING TO GET PREGNANT & BIRTH CONTROL APP:- Fertile symptoms tracker, like cervical firmness, cervical mucus, cervical opening- Check your odds of conceiving each day for better family planning- It is the birth control app, spot on tracking the period & fertile daysLOSE WEIGHT, TRACK SYMPTOMS & MOODS:- Intimacy tracker- Body temperature chart helps you determine ovulation date- Predict your ovulation date according to the ovulation test resultNEVER LOSE DATA:- Utilizes Google account data backup and Restoration- Backup and restore your period data to phone or emailMULTI ACCOUNT & SECURITY:- Multi accounts to track & security protections- View or search all notes through your timelineCOMMUNITY- To communicate and exchange ideas with each other about any topics ** Check our community ** https://goo.gl/jXpCx1It is the reliable ovulation app for ovulation and period tracker, you can check your ovulation calendar, period calendar, it will be more accurate for your usage.   "	"50,000,000 - 100,000,000  "	"June 16, 2017"	"   Varies with device  "	"   Varies with device  "	"   Varies with device    "	"PEGI 3"	4041500	"Vistra Corporate Services Centre, Wickhams Cay II, Road Town, Tortola, VG1110, British Virgin Islands"	com.ovuline.fertility
