id	title	category	rating	price	link	developer_name	developer_link	img_src_large	img_src_small	description	long_description	num_downloads	published	filesize	software	os	pegi	rating_count	developer_address	related_to
com.popularapp.periodcalendar	Period Tracker, My Calendar	Health & Fitness	4.8	free	https://play.google.com/store/apps/details?id=com.popularapp.periodcalendar	 Simple Design Ltd. 	https://play.google.com/store/apps/dev?id=8854450600049889113	//lh3.googleusercontent.com/jCw0w3M5ILePsx_LxtCNJHSntwGsa4yPY-PfiiXBtbNo-pvCNMyo6N5PUKiu1v9URDs=w300	//lh3.googleusercontent.com/jCw0w3M5ILePsx_LxtCNJHSntwGsa4yPY-PfiiXBtbNo-pvCNMyo6N5PUKiu1v9URDs=w300	Remind your next period, fertile days. easy to conceive or birth control	 The ★highest rated (4.8)★ period calendar!Top 1 in Health & Fitness Over 43 Countries.Top 5 in Health & Fitness Over 63 Countries.Over 70,000,000 Android Users love Period Calendar.Keep track of your menstrual cycles with Period Calendar. It tracks your periods, cycles, ovulation and the chance of conception. Period tracker helps both women looking to conceive and those trying to birth control.Period Tracker is useful, whether you have irregular periods or regular periods. It can track your chance of pregnancy every day. You can also record your cervical mucus, BMI, sexual activity, weight, temperature, symptoms or moods. Think of it as your personal period diary. It will help you get in shape, lose weight, and stay healthy.PILL REMINDER & PERIOD REMINDER:- Customize the notification text to make it discreet, to avoid never being embarrassed in public.- Notifications for period, fertility and ovulation tracker- Contraceptive pills reminder (includes pills, ring, patch & injections)PERIOD & FERTILITY TRACKER:- Helps predict menstruation, cycles and ovulation- Ovulation calculator and tracker- Period calculator, fertility calculator and spot on predictionTRYING TO GET PREGNANT & BIRTH CONTROL APP:- Fertile symptoms tracker, like cervical firmness, cervical mucus, cervical opening- Check your odds of conceiving each day for better family planning- It is the birth control app, spot on tracking the period & fertile daysLOSE WEIGHT, TRACK SYMPTOMS & MOODS:- Intimacy tracker- Body temperature chart helps you determine ovulation date- Predict your ovulation date according to the ovulation test resultNEVER LOSE DATA:- Utilizes Google account data backup and Restoration- Backup and restore your period data to phone or emailMULTI ACCOUNT & SECURITY:- Multi accounts to track & security protections- View or search all notes through your timelineCOMMUNITY- To communicate and exchange ideas with each other about any topics ** Check our community ** https://goo.gl/jXpCx1It is the reliable ovulation app for ovulation and period tracker, you can check your ovulation calendar, period calendar, it will be more accurate for your usage.   	50,000,000 - 100,000,000  	June 16, 2017	   Varies with device  	   Varies with device  	   Varies with device    	PEGI 3	4041500	Vistra Corporate Services Centre, Wickhams Cay II, Road Town, Tortola, VG1110, British Virgin Islands	
org.iggymedia.periodtracker	Flo Menstruatiekalender 👸	Health & Fitness	4.8	free	https://play.google.com/store/apps/details?id=org.iggymedia.periodtracker	OWHEALTH, INC.	https://play.google.com/store/apps/dev?id=7859780945987939075	//lh3.googleusercontent.com/opkGov9zpHUttLUw7xmjPMWfry6-fI9fzi4sATCIDTC_E_K7hROSQSJOVUE0OnrtzrM=w340	//lh3.googleusercontent.com/opkGov9zpHUttLUw7xmjPMWfry6-fI9fzi4sATCIDTC_E_K7hROSQSJOVUE0OnrtzrM=w170	  Ongesteldheid-, ovulatie-, vruchtbaarheidscalculator, menstruatiecyclus kalender       	 Flo Period Tracker is a smart and simple way to track your menstrual cycle. Flo is a women's period calculator that makes accurate and reliable predictions of menstruation, ovulation and fertile days using machine learning (AI). All women, even those with irregular cycles, can rely on Flo. Log your period days in a handy calendar, schedule menstrual cycle reminders, record moods and pms symptoms, and take full control of your health.Wondering when you had your last period? Want to know when your next period is coming? With Flo female menstrual calendar it’s easy to keep track of your cycle.Listen to yourself, note your mood and symptoms to understand how they influence your health.Flo lets you:- schedule reminders and get notifications of your period, ovulation, contraceptives and other pills;- keep your cycle and symptoms history and analyze it using graphs;- manage your lifestyle: add your daily sleep duration, water consumption, physical activity, track PMS symptoms, all in one place;- track basal temperature, pregnancy tests results and know your fertility days, if you are trying to conceive;- find out more about your body and cycle – get personalized health insights every dayTracking periods was never that easy! Download this period diary and join millions of women and girls who trust their cycles to Flo Period & Ovulation Tracker.   	5,000,000 - 10,000,000  	June 28, 2017		 3.3.0  	      4.0.3 and up    	PEGI 3	156744	1013 Centre Road, Suite 403-B, Wilmington, DE, 19805	com.popularapp.periodcalendar
com.period.tracker.lite	Cyclus Volgsysteem	Health & Fitness	4.5	free	https://play.google.com/store/apps/details?id=com.period.tracker.lite	GP International LLC	https://play.google.com/store/apps/developer?id=GP+International+LLC	https://lh4.ggpht.com/3NneKQ51rekn6NVjrlQ2z16833MTw253i70YnQXug_GRj0rkbS6NWC3GMdzmEwvQBQ=w340	https://lh4.ggpht.com/3NneKQ51rekn6NVjrlQ2z16833MTw253i70YnQXug_GRj0rkbS6NWC3GMdzmEwvQBQ=w170	  P Tracker, de gemakkelijkste manier om je ongesteldheid in de gaten te houden!       	" Period Tracker, the easiest way to track your periods is now on Android! * Press a button at the start of your period every month. Period Tracker logs your dates and calculates the average of your past 3 months' menstrual cycles to predict the start date of your next period. * View your current and future period dates, ovulation and fertile days, your moods and your symptoms in a simple month-view calendar. * Decorate your phone with an icon that looks great on your home screen and that's discreet. It reads simply ""P Tracker."" Period Tracker is FILLED WITH FEATURES. * Take daily notes of moods, symptoms, and intimacy. * Easily view the number of days until next period or number of days late. * Know when you're fertile with flowers that show on your homescreen during your predicted ovulation and eight day ""fertile window."" Please email comments and suggestions to support@gpapps.com.Disclaimer: Period Tracker period and fertility forecasts may not be accurate and should not be used to prevent unwanted pregnancy.  To forecast ovulation Period Tracker calculates 14 days before the projected start date of one's next period.  Forecast accuracy depends on a number of factors including how regular one's cycle length is, when one actually ovulates during the cycle, and how many periods have been logged in the app.  Anxiety, stress, diet, nutrition, exercise, environment, medications, age and other factors can also affect one's cycle from month to month.  By downloading this app you agree to the End User License Agreement at http://gpapps.com/support/eula/ .   "	10,000,000 - 50,000,000  	October 8, 2016	   Varies with device  	   Varies with device  	   Varies with device    	PEGI 3	300064	39252 Winchester Rd. Murrieta, CA 92563	com.popularapp.periodcalendar
com.clue.android	Period Tracker Clue: Period & Ovulation Tracker	Health & Fitness	4.7	free	https://play.google.com/store/apps/details?id=com.clue.android	BioWink GmbH	https://play.google.com/store/apps/developer?id=BioWink+GmbH	//lh3.googleusercontent.com/wVwz3A1WC__iFmAfrjawQc3UGv-UQ2VPYyo0xRfnpJ6jQu07hIuO_w_KH_CXA8RIrQ=w340	//lh3.googleusercontent.com/wVwz3A1WC__iFmAfrjawQc3UGv-UQ2VPYyo0xRfnpJ6jQu07hIuO_w_KH_CXA8RIrQ=w170	  Beoordeeld als top gratis menstruele volgen app door het tijdschrift Obstetrics & Gynecology.       	 Clue is a period tracker and ovulation app that uses science and data to help you discover the unique patterns in your menstrual cycle. Use Clue to remind you about your period, PMS, ovulation and fertility.Clue is rated as the top free period tracker app by the journal Obstetrics & Gynecology, a publication of the American College of Obstetricians and Gynecologists (ACOG).Use Clue to:+ Track when your next period is coming.+ Get calendar reminders before your next period, PMS and ovulation.+ Track sex, pain, moods, cervical fluid, and more.+ Log your birth control, or plan for pregnancy. Clue also includes:+ The guarantee of no flowers, butterflies, euphemisms or pink - ever.+ In-depth information about the menstrual cycle, complete with medical and scientific references.+ Dozens of ways to track your health, including period, PMS, birth control, ovulation, cramps, emotions, skin, hair, sleep, exercise, and more.+ Analysis of your current and past menstrual cycles, along with an overall average, to easily observe trends.+ The fastest data entry of any period tracker.+ An algorithm that learns from the data YOU input. The more you use it, the smarter it gets.Please note: Clue – Period Tracker is not a contraceptive.**Please say hello**We love hearing from Clue users. Send your feedback, questions and suggestions to support+android@helloclue.com.**Want more Clue?**Our blog: http://blog.helloclue.com Twitter: http://www.twitter.com/clue Facebook: http://www.facebook.com/helloclue   	10,000,000 - 50,000,000  	June 26, 2017			      4.0.3 and up    	PEGI 3	264362		com.popularapp.periodcalendar
in.plackal.lovecyclesfree	Maya - Mijn menstruatievolger	Health & Fitness	4.6	free	https://play.google.com/store/apps/details?id=in.plackal.lovecyclesfree	Plackal Tech	https://play.google.com/store/apps/developer?id=Plackal+Tech	//lh3.googleusercontent.com/IkedSnUvFeJ5e8qA1JUQtCmK-cgoqiXsjqKi8ojDG136S_g12I9EmmVteM_nJW0V4WoV=w340	//lh3.googleusercontent.com/IkedSnUvFeJ5e8qA1JUQtCmK-cgoqiXsjqKi8ojDG136S_g12I9EmmVteM_nJW0V4WoV=w170	  Volgen van de maandelijkse periode is leuk en makkelijk!       	 Maya is an easy and fun to use period tracker (menstrual cycle calendar). Use Maya to track your periods, related symptoms, mood swings and your overall health.★ FEATURES ★- Period / menstrual phases in intuitive color codes- Automatic and accurate prediction of fertility- Tweak menstrual cycle length and flow length- Backup data to account and sync to multiple devices- Password protect the calendar- Easy entry of past cycles- Prediction for start of cycle in the coming months- Options to log love, weight and temperature- Options to log symptoms and moods- Graphs for weight and temperature- View statistics and history- Set vital reminders to the phone’s calendar- Widget that auto updates everyday- Theme★ PERMISSIONS REQUIRED ★- Personal information: To insert reminders for cycle phases into the device calendar (No other confidential information is accessed. No emails are sent without permission)- Network access: To backup and sync data- Vibration control: For notifications- In-app purchase: Go Premium- Location Permission: To improve accuracy- Camera Permission : To publish posts with images on the Maya forum.For any support, queries or suggestions, write to us at: help@maya.liveStay tuned to new features, updates and releases. Follow us at: http://facebook.com/MayaTheApphttp://twitter.com/MayaTheApphttps://pinterest.com/MayaTheApphttp://www.maya.live   	5,000,000 - 10,000,000  	June 8, 2017		 3.6.0.4  	      4.0.3 and up    	PEGI 3	120762	Ginserv, JSS Campus, CA Site No. 1, HAL 3rd Stage, Kodihalli, Bangalore, Karnataka, India.	com.popularapp.periodcalendar
com.lbrc.PeriodCalendar	Menstruatiekalender	Medical	4.6	free	https://play.google.com/store/apps/details?id=com.lbrc.PeriodCalendar	SimpleInnovation	https://play.google.com/store/apps/dev?id=6197543456908830701	//lh3.googleusercontent.com/zInI2i2SrXU5jvioTYesQpu-kIPQd_zxGKyztVtVXCnuOfaRqu57cHFTi8B4qccYtN8=w340	//lh3.googleusercontent.com/zInI2i2SrXU5jvioTYesQpu-kIPQd_zxGKyztVtVXCnuOfaRqu57cHFTi8B4qccYtN8=w170	  Simpel, elegant en eenvoudig te gebruiken menstruele tracker       	 Period Calendar - Menstrual TrackerPeriod Calendar is an extremely elegant and easy-to-use application that helps women keep track of periods, cycle, ovulation, and fertile days.  Whether you are concerned about conceiving, birth control, contraception, or regularity of period cycles, Period Calendar can help.Our tracker is easy to use and offers everything you need: Track irregular periods, weight, temperature, moods, blood flow, symptoms and more.Discreet reminders keep you informed and prepared for upcoming periods, ovulation, and fertile days.The calendar is great at predicting fertility, ovulation and periods.  The app adapts to your cycle history and accurately predicts the key days that interest you.See everything you need at a glance on the calendar home page.Period Calendar protects your most private data—the calendar can be password locked, keeping your information hidden from prying eyes.Easy backup and restore of your data to protect against device loss or replacement.Key features:Period tracker, calculator and calendar - Intuitive calendar in which you can visualize non-fertile, fertile, ovulation, expected period and period days- Calendar, cycles and settings can be quickly backed up and restored. Never be afraid to lose your calendar data- Our intuitive health tracker shows vital information at a glanceDaily period log with detailed tracking- The daily calendar planner lets you save information on flow, intercourse, symptoms, moods, temperature, weight, medicine, PMS, other diary notes- Easily move between calendar days- Notifications for upcoming period, fertility windows or ovulation- Protect your period calendar using a unique PIN codeAlways have up-to-date info with the tracker- Track period data and ovulation signs on your calendar- Choose from different units of measurement- Reset tracker data to start fresh- Adjust period prediction intervals in the Settings section- Adjust luteal phase length- Track cervical observations - Start the tracker on a custom “first day of week” (Monday or Sunday)Period tracker with abstinence mode- Hide ovulation, fertility and intercourse related data- Make this calendar the perfect period tracker for girls and teensElegant and sophisticated, just like you! This highly customizable period tracker and pregnancy planning calendar is perfect for every woman.Download our period calendar free today!Follow us on:http://period-tracker.com/https://www.facebook.com/pages/Period-Calendar/971814886201938https://twitter.com/MenstrualTrack   	1,000,000 - 5,000,000  	June 18, 2017		 5.5.0  	      4.0.3 and up    	PEGI 3	99811	"340 S LEMON AVE #3324
Walnut, CA 91789"	com.popularapp.periodcalendar
com.woman.diary	Vrouwkalender	Health & Fitness	4.5	free	https://play.google.com/store/apps/details?id=com.woman.diary	DSN Inc.	https://play.google.com/store/apps/developer?id=DSN+Inc.	//lh5.ggpht.com/PwhAMnjclWLwqzVl26bAqR8Tza1pkugNtKsTbtlVo8J_iUQh40AKILHUNDsbtkLQXA=w340	//lh5.ggpht.com/PwhAMnjclWLwqzVl26bAqR8Tza1pkugNtKsTbtlVo8J_iUQh40AKILHUNDsbtkLQXA=w170	  Vrouwen Kalender ovulatie cyclus maanden vruchtbare periode gezond gewicht       	 “Women's Calendar” is a very simple and easy to use calendar for monitoring the status of your monthly period, as well as determining the date of ovulation and the fertile period (the possibility to become pregnant).Also, the program will be useful for those who play sports. In the advanced settings you can keep what you are interested in, i. e. weight in the evening, calories burned during exercise, weight of the favorite kitten ... :-)This program can not only keep track on menses but replace multiple applications too. The application conveniently monitors the ovulation, cycle and fertile period, as well as the change in weight, waist, breast, hips, pressure and heart rate, and displays all the data in the chart.You will love your pet at a glance. The program also has a daily reminder so that you do not forget to weigh in at the same time.Utilities :- monitoring of the menstrual cycle and period- prediction of ovulation and the fertile period- chart of basal body temperature- data backup and restore- pet- mood (79)- symptoms (57)- weight chart- waist chart - hip chart- breast chart- blood pressure- pulse- 10 themes at your choice- password protection (numeric or textual at your choice)- daily reminder to weigh in- possibility to set any time convenient for you- notification of the cycle beginning - notification of the possibility to get pregnant- notification of ovulation- possibility to schedule the date and time of the notification- possibility to set the notification time- automatic weekly backup- body mass index- noteAdditional advantages:- very simple logic of data input- quick and easy to use settings- compatible with HD graphics tablets- absolute speed of your data processingAdditionally, in the PRO version:- mode « pregnancy »- widgets (3)- daily reminder to take pills- mood with choice of variations- symptoms with choice of variations- pet (+3)- possibility to import the database from free version-  choice of input parameters- possibility to set one’s photo on the background- possibility to add one’s new symptoms- possibility to add one’s new mood- choice of symptoms to monitor- choice of mood to monitor- possibility to monitor many users- 3 additional parameters at your choice- no adsMoreover, the program is free.We are looking forward to your comments and suggestions.   	1,000,000 - 5,000,000  	January 26, 2017		 2.8.9  	      2.3 and up    	Sex	81995	231300 BELARUS Lida ul.Gastello 69/28	com.popularapp.periodcalendar
com.glow.android.eve	Eve Period Tracker & Sexual Health App	Health & Fitness	4.6	free	https://play.google.com/store/apps/details?id=com.glow.android.eve	Glow Inc	https://play.google.com/store/apps/dev?id=5645706041873155457	//lh3.googleusercontent.com/GrcpshHAU-wo3mzvTqWNHv-swHl0X6gZoR9Ac-UzJh4YF3_QIJDMAZscariBNTc-giY=w340	//lh3.googleusercontent.com/GrcpshHAU-wo3mzvTqWNHv-swHl0X6gZoR9Ac-UzJh4YF3_QIJDMAZscariBNTc-giY=w170	"  Periode volgen gemaakt sexy. Eve is ""de Cosmo tijdschrift van de periode apps"" Mislukking       "	 Winner of 2016 Webby for health, Eve by Glow is a savvy health & sex app and period tracker for women who want to take control of their sex lives. Eve helps women figure out birth control & contraception, ovulation & fertility, PMS, menstrual cycle symptoms, and health trends over time. The only tracker that addresses sexual, menstrual, and reproductive health all-in-one, Eve is comprehensive for sex positive girls who want to own their menstrual cycles and feel good in bed. Get it, girl.SEX & HEALTH UNLOCKED+ Keep track of sex, moods & PMS symptoms.+ Quick, elegant logging at any time of day or night.+ See your health data and PMS symptoms visualized in beautiful charts.+ Identify trends and patterns unique to your body.+ Daily gem delivers insights, cyclescopes, quizzes, and fascinating women’s health topics every day.INTERACTIVE PERIOD & CYCLE TRACKING+ Fast, fun period tracker+ Forecast your ovulation and fertility with period tracker predictions that get smarter over time.+ Review past periods, menstrual cycles, PMS symptoms and ovulation dates. Girl, it’s time to better understand your cycle & fertility!+ Calendar views on period tracker show your next fertile window, ovulation day, upcoming period.EPIC COMMUNITY+ Community forum provides an extended friend group of girls down to discuss sex, PMS, and other women’s health topics.+ Trusted information about birth control & sex, powered by Bedsider.+ Ask the community anything--nothing is off limits! Girl Power!+ Learn from other women who have been there before.CONNECT WITH USWeb - http://www.glowing.comFacebook - http://www.facebook.com/glow Twitter - @EveByGlowInstagram - @EveByGlowPinterest - @GlowHQIf you are having technical issues or have any questions about your cycle or period, we're here to help. Please send us an email to: support@glowing.com.   	500,000 - 1,000,000  	June 21, 2017		 2.8.7  	      4.1 and up    	Sex	16003	140 2nd Street, 3rd Floor, San Francisco, CA 94105	com.popularapp.periodcalendar
constant.milk.periodapp	생리 달력 - 더데이	Health & Fitness	4.8	free	https://play.google.com/store/apps/details?id=constant.milk.periodapp	HS App	https://play.google.com/store/apps/developer?id=HS+App	//lh3.googleusercontent.com/5JoUr6VEKwD5jkj2uQ_4gL4jYZbF9774iB7hM2-zj77hykz4fXPLRzyzuXTBpBuFCQ=w340	//lh3.googleusercontent.com/5JoUr6VEKwD5jkj2uQ_4gL4jYZbF9774iB7hM2-zj77hykz4fXPLRzyzuXTBpBuFCQ=w170	  alleen Druk op de vereiste om vrouwen te zetten functies gemaakt gebotteld menstruele kalender - The DayVan nu af aan, probeer gewoon te controleren!       	 심플한 생리 달력 - 더데이쓸모없는 기능은 줄이고여자들에게 필요한 기능만 꾹꾹 눌러 담아 만든 생리 달력 - 더데이!이제부터 간단하게 체크해보세요!♡ 생리 달력 - 더데이 기능▶ 내 생리 주기가 정확할까?- 나의 연간 생리일, 가임일, 배란일 기록을 한 눈에 체크!- 생리일, 가임일, 배란일 중 보고 싶은 날만 선택해서 볼 수 있어요.▶ 생리일, 생리 기간 입력은 더욱 더 간단하게!- 간단한 터치만으로 생리일 입력과 생리 기간을 변경할 수 있어요.▶ 그 날까지 얼마나 남았지? - 심플한 생리 정보 화면으로 남은 일수를 체크!- D-Day 표시 기능으로 달력에서 바로 남은 주기 확인!▶ 아무에게도 들키고 싶지 않아!- 나만 볼 수 있게 비밀번호 기능으로 철통 방어!▶ 마음대로 꾸미는 더데이~- 다양한 디자인을 원하는 분들을 위한 테마 설정 기능과 달력 표시 설정 기능을 통해서 마음대로 변경할 수 있어요.▶ 바쁜 일상에 그 날을 깜박하는 당신을 위해- 알람 설정으로 생리일, 가임일, 배란일, 알람 소리에 문구까지 설정할 수 있어요.▶ 생리일이 불규칙한 당신을 위해- 예정일 계산 방법을 고정과 평균으로 나눠서 정확도를 높혔어요- 생리일이 불규칙한 분들은 꼭 생리 설정을 평균으로 변경해서 사용해주세요.▶ 간단하게 메모를 남기고 싶은 당신을 위해- 일상의 정보를 메모와 사진으로 기록하고 달력에서 쉽게 확인할 수 있어요.▶ 핸드폰을 바꿨는데 기록이 남아 있을까?- 구글 드라이브 백업/복구로 핸드폰을 바꿔도 바로 복구 가능!▶ 사랑일, 피임일, 메모는 아이콘으로 간단하게!- 사랑일, 피임일, 메모는 아이콘으로 표시되어 더욱 심플한 달력 화면으로 볼 수 있어요.▶ 아기를 위해서도 필요한 어플!- 임신 설정을 통해 우리 아기를 만나기까지 며칠이 남았는지 확인할 수 있어요.▶ 쉽고 편리한 약 복용 기능- 시간, 종류, 개수 등으로 디테일하게 약 복용 내용을 관리할 수 있어요.그 외에 추가되었으면 하는 부분이나 버그 및 수정 사항이 있으시면언제든지 부담 없이 메일 주세요. 보내주신 귀중한 의견 꼭 참고하도록 하겠습니다!개발자 이메일 : devwlstn@gmail.com권한 설명▶ WRITE_EXTERNAL_STORAGE- 데이터 백업과 메모 내용 엑셀로 빼기를 위해서 필요한 권한입니다.▶ READ_EXTERNAL_STORAGE- 데이터 복구를 위해서 필요한 권한입니다.▶ GET_ACCOUNTS- 구글 드라이브에 백업 할때 필요한 권한입니다. Simple menstrual calendar - The DayUseless feature reducesPress only the features required to put women made bottled menstrual calendar - The Day!From now on, try simply check!♡ menstruation calendar - The Day function▶ do precisely is your menstrual cycle?- My annual saengriil, fertile days, ovulation check the records at a glance!- saengriil, fertile days, you can see you want to see by selecting nalman of ovulation.▶ saengriil, menstruation input is even more simple!- You can change the input and saengriil menstrual period with a simple touch.▶ How much longer until that day?- Simple physiological information, check the number of days remaining in the screen!- Check the remaining period directly from the D-Day calendar display function!▶ deulkigo do not want anyone!- The password feature allows only visible to fiercely defend!▶ The Day to decorate at will -- You can change at will through the theme settings and calendar function display settings feature for those who want a variety of designs.▶ for you to flash the day on a busy day- the saengriil, fertile days, ovulation, the alarm sounds the alarm settings I can set up phrase.▶ The saengriil for your irregular- dividing the due date calculation method, fixed, and I mean broadens accuracy- Please use it saengriil irregular menstruation who has come to change the settings mean.▶ for you simply want to leave a comment- I can see the day-to-day recording information in the notes and photos and easily on the calendar.▶ Can I still record changed my cell phone?- when you change your cell phone can be recovered directly to Google Drive Backup / Recovery!▶ loved one, contraceptives work, notes simply as an icon!- one love, one contraceptive, notes are displayed as icons you can see in a more simple calendar display.▶ Applications need also for the baby!- I can see that a few days are left with a pregnancy set up to meet our baby.▶ Easy and convenient medication feature- to detail the time, type, number, etc. I can manage medication information.As if in addition to the part or have any bugs and fixes toPlease feel free to e-mail any time.Let's just see who sent valuable feedback!Developers Email: devwlstn@gmail.comDescription Permission▶ WRITE_EXTERNAL_STORAGE- the necessary permissions for data backup and a minus memo Excel.▶ READ_EXTERNAL_STORAGE- The necessary permission for data recovery.▶ GET_ACCOUNTS- the necessary permissions when backing up to Google Drive.  	100,000 - 500,000  	June 10, 2017		 1.6.0  	      4.0.3 and up    	PEGI 3	9852	Sangdaewon 3-dong,Jungwon-gu,Seongnam-si,Gyeonggi-do,South Korea	com.popularapp.periodcalendar
com.womanlog	WomanLog kalender	Health & Fitness	4.5	free	https://play.google.com/store/apps/details?id=com.womanlog	Pro Active App	https://play.google.com/store/apps/dev?id=7533781957734301773	//lh3.googleusercontent.com/o_mEOw2lohLNtQVqpyFT0QKOOYfxDDMMD3xc8l4TpVf2RP2bsiLMZrIaiEJJ_ZDw8g=w340	//lh3.googleusercontent.com/o_mEOw2lohLNtQVqpyFT0QKOOYfxDDMMD3xc8l4TpVf2RP2bsiLMZrIaiEJJ_ZDw8g=w170	  Kalender voor vrouwen. Wat iedere vrouw nodig heeft!       	 WomanLog is a menstrual and fertility calendar for women.Key features:Menstrual cycle and the periodOvulation and fertility forecastWeight TrackingSymptoms, Mood, PillReminders (Menstruation, Ovulation, Weight, BBT, Multivitamin pill, Breast self-exam, Contraceptive pill, NuvaRing, Contraceptive patch, Depo-Provera injection)WomanLog Pro:Circular calendar, Moon phasesCycle Overview (Send PDF file to an e-mail)Ovulation test, Pregnancy testSkins (16)No adsAll the main functions are accessible via the calendar. Tapping a finger on the calendar date, you can add and edit the settings for each day.Turn the phone horizontally and you will switch to the 3-month summary on one screen.Application developers are not responsible for any direct or indirect losses which have arisen or may arise related to using this application.Menstruation, ovulation and fertility day forecast have to be understood as theoretical predictions which may not coincide with the actual menstruation, ovulation and fertility days.General technical data such as phone model, etc., are transferred to www.womanlog.com solely for testing purposes and for statistics.contacts: womanlog@womanlog.comwww.womanlog.com © 2017   	5,000,000 - 10,000,000  	March 29, 2017		 4.0.1  	      4.0.3 and up    	PEGI 3	117922	"Vidus iela 4
Riga, LV-1010
Latvia"	com.popularapp.periodcalendar
